隊伍ID,隊伍名稱,學校,科系,賽道,學生人數,指導老師數,報名日期
T001,智能學習助理,國立臺灣大學,資訊工程學系,創新,3,1,2026-03-15
T002,綠色物流平台,逢甲大學,室內設計進修學士班,創意,4,1,2026-03-16
T003,教育機器人計畫,國立政治大學,教育學系,創意,3,1,2026-03-18
T004,農業無人機系統,國立臺灣大學,電機工程學系,創業,2,0,2026-03-20
T005,醫療影像AI,臺北醫學大學,醫學資訊研究所,創新,3,1,2026-03-22
T006,語言學習App,國立政治大學,外國語文學系,創意,4,1,2026-03-25
T007,社區互助平台,東海大學,社會工作學系,創意,3,1,2026-03-28
T008,智慧校園系統,國立清華大學,電機工程學系,創新,4,1,2026-04-01
T009,文化保存AR,國立陽明交通大學,文化研究所,創意,3,0,2026-04-03
T010,健康監測穿戴,國立清華大學,生醫工程與環境科學系,創業,4,1,2026-04-05
T011,線上協作工具,逢甲大學,資訊工程學系,創新,3,1,2026-04-07
T012,永續能源管理,國立高雄科技大學,電機工程學系,創業,4,1,2026-04-08
T013,校園安全系統,國立臺中教育大學,教育學系,創意,2,1,2026-04-10
T014,遠端學習平台,國立政治大學,合作經濟暨社會事業經營學系,創新,3,1,2026-04-12
T015,都市農業方案,逢甲大學,環境工程與科學學系,創業,4,0,2026-04-14
T016,運動傷害預防App,國立臺灣大學,體育學系,創新,3,1,2026-04-15
T017,銀髮族照護系統,東海大學,社會福祉學系,創意,4,1,2026-04-17
T018,智慧農業IoT,國立高雄科技大學,機械工程學系,創業,3,1,2026-04-18
T019,心理健康平台,國立臺灣大學,心理學系,創新,3,0,2026-04-20
T020,無障礙導覽App,國立陽明交通大學,資訊管理學系,創意,4,1,2026-04-21
T021,食安溯源系統,國立清華大學,化學系,創業,3,1,2026-04-22
T022,碳足跡計算器,國立高雄科技大學,環境工程學系,創新,4,1,2026-04-23
T023,偏鄉教育App,國立臺中教育大學,特殊教育學系,創意,3,1,2026-04-24
T024,社企媒合平台,國立政治大學,社會學系,創業,4,1,2026-04-25
T025,智慧圖書館,逢甲大學,資訊管理學系,創意,3,0,2026-04-26
